state,county,latitude,longitude,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55
AL,CONECUH,31.43,86.95,1.57,4,8.57,9,9,12.43,18.14,25.29,38.57,47.43,86.71,133.43,165.29,202.43,233.43,281,331.14,376.14,408.14,429.29,455.14,482.71,495.14,508.71,521.29,534.71,539.29,545.43,552.57,560.14,575.14,601.14,638,667.71,686.71,736.71,774.71,801.86,824,855.43,899.43,937,972.43,1003.71,1029.29,1049.57,1062.86,1066.14,1071,1076.43,1082.86,1085.86,-1,-1,-1
AL,COOSA,33.06,86.05,3,7.29,15,22.14,29.57,30,31.86,33.71,33.43,38.71,40.14,45,49.71,54.71,58.43,65.71,72.43,87.57,98.14,116,122.29,128.14,134.14,141.71,150.43,163,171.14,177.86,187.14,195.29,205.71,223.29,236.43,266.43,308.57,352,396.14,432.57,457.14,483,530.43,579.57,604.57,638.71,683.43,750.86,836.14,858.14,888.14,903.43,923.86,943.43,-1,-1,-1
AL,COVINGTON,31.4,86.48,0.29,2.57,6.86,15.57,25.71,34.86,46.14,54.57,59.14,70.71,84.29,97.14,179.71,249.43,319.14,387,476,607.43,730.86,827.29,891.57,954.29,1038.71,1114.86,1198.43,1265.14,1331.29,1413.57,1494.71,1579.57,1667.14,1761.14,1902.14,1967.71,2056.14,2150.86,2256.71,2413.57,2580.29,2746.43,2850.57,3014.14,3204.14,3306.57,3450,3630.71,3772.86,3855.14,3924.29,3974.29,4001.71,4019.14,4030.14,-1,-1
AL,CRENSHAW,31.58,86.25,0.43,1.14,2,4.14,7.43,16.43,29.14,47.71,53.43,66.71,80.71,98.43,115.57,121.57,127.14,129.71,145.57,203.29,263.71,318.57,361.71,401.57,438.86,475,491.86,512.29,528.86,543.43,553.29,573,597.14,612.14,630.86,658.71,686.43,706.29,727.86,757.57,801.71,874,937.43,1048,1155.29,1211.57,1269.29,1328.29,1372.57,1409.43,1433.57,1457,1477.57,1489.57,1493.29,-1,-1
AL,CULLMAN,34.26,86.61,2.14,7.86,19.71,37.29,44.86,51.43,58.29,65.14,69.86,81.14,142.43,201.14,276.14,321.14,396.86,477.71,658.57,837.86,1014.57,1200.14,1313.57,1396.29,1520.71,1639.43,1709.86,1773.86,1852.29,1910.14,1969.14,2084.43,2263.14,2521.29,2866.71,3264.29,3762.57,4158.57,4554.71,5163.29,5776.86,6380.14,6841.14,7334.14,7752.14,8056.57,8324.43,8573.86,8740.57,8799,8842.43,8917.71,9015.86,9161.29,9299.57,-1,-1
AL,DALE,31.59,85.71,0.29,3.29,10.14,19.57,25,32.43,47,64,87.57,118.71,138.29,180.29,207.57,241,306.86,411.57,539.71,702.43,797.86,862,911.43,1012.86,1102.86,1171.71,1256.14,1333,1396.71,1504.57,1555.14,1623.43,1771,1935.57,2056.86,2186.71,2270.86,2372,2553.14,2795.71,3039.43,3219.86,3465,3758.14,3982.71,4138.57,4309.14,4419,4526.43,4600.43,4646,4687.43,4712.86,4730.14,-1,-1,-1
AL,DALLAS,32.41,87.03,0.57,2.43,7.43,15.57,26,35.14,63.14,116,155.57,210.57,275.57,344.29,500.86,653.71,787.43,908.71,1035,1169.57,1265.57,1361,1429.43,1484.29,1548.86,1623.43,1677.43,1721.29,1751.43,1793.29,1809.29,1833.29,1851.57,1874.29,1919.43,1996.71,2079.14,2210.57,2292.43,2405,2508.14,2617.71,2713.14,2853.86,2938.71,3047.71,3143.29,3227.86,3267,3293.29,3356.71,3408.14,3430.71,3472,3504.14,-1,-1
AL,DEKALB,34.26,85.86,0.71,5.71,14.71,28.71,51.29,73.14,102,166.86,199.86,231.57,255.71,283.57,346,445.14,598.71,783.57,1092,1361.86,1560.43,1752.71,1898.29,1992.86,2086.86,2166.71,2234,2290.57,2374.14,2453.71,2660.14,2911.71,3215.29,3487.43,3736,3969.43,4309,4697.14,5007,5474,5993.29,6524.43,6805.71,7112.71,7476.14,7735.14,7960.86,8164.43,8293.71,8365.43,8416.57,8470.43,8525.71,8638.43,8677.57,-1,-1
AL,ELMORE,32.49,86.33,3.29,12.57,20,35.86,63.43,78.43,103.29,143.86,193.86,265.71,352.71,422.43,538.14,672.86,791.29,928,1075.86,1270.14,1486.86,1641.57,1800.14,1903.57,2027,2178.14,2314.43,2428.29,2540,2682.86,2820.14,2953.43,3079.71,3209.57,3318,3452.57,3652.57,3906.71,4122.71,4496,4964.43,5521.29,6041.43,6714.29,7385.29,7826.14,8211.14,8595.57,8884.43,9096.43,9248.29,9381.86,9523.43,9672.86,9827.43,-1,-1
AL,ESCAMBIA,31.11,87.07,0.14,1.29,3.86,10.43,17.29,26.29,31.71,37.57,39,46.43,70.71,89.43,113.29,169.43,260.71,407,538.57,704.71,920,1076.14,1212,1268.29,1349.14,1424.71,1478.29,1533.43,1574.29,1617.57,1659.86,1687.86,1711.71,1743.14,1786.29,1839,1896.29,1960.71,2028.43,2160.57,2296.86,2444.86,2594.29,2794,3033.57,3225.57,3416.71,3561.14,3659,3714.71,3756.43,3781.86,3800.71,3825,3845.43,-1,-1
